Cluster members	Cluster ID
A0A034VQH2	UniRef90_A0A034VQH2
A0A034VRC2	UniRef90_A0A034VQH2
A0A034VM14	UniRef90_A0A034VQH2
A0A0K8VWG7	UniRef90_A0A034VQH2
UPI0008DC657A	UniRef90_A0A034VQH2
UPI0008DD7558	UniRef90_A0A034VQH2
A0A066V584	UniRef90_A0A066V584
A0A060XF18	UniRef90_A0A060XF18
A0A066VD94	UniRef90_A0A066VD94
A0A024TMP3	UniRef90_A0A024TMP3
A0A060SPN7	UniRef90_A0A060SPN7
A0A066V7Q0	UniRef90_A0A066V7Q0
A0A060C6F5	UniRef90_A0A060C6F5
A0A015ITJ8	UniRef90_A0A015ITJ8
A0A2H5RN64	UniRef90_A0A015ITJ8
U9UNS6	UniRef90_A0A015ITJ8
A0A2N0NGC3	UniRef90_A0A015ITJ8
A0A022MQC0	UniRef90_A0A022MQC0
A0A1A9J148	UniRef90_A0A022MQC0
UPI00099887E0	UniRef90_A0A022MQC0
A0A066V2R6	UniRef90_A0A066V2R6
A0A060C246	UniRef90_A0A060C246
A0A010ZXA6	UniRef90_A0A010ZXA6
A0A060C1Q7	UniRef90_A0A060C1Q7
A0A024S221	UniRef90_A0A024S221
G0RRQ3	UniRef90_A0A024S221
A0A2H2ZYK3	UniRef90_A0A024S221
A0A060C9J1	UniRef90_A0A060C9J1
A0A024SER2	UniRef90_A0A024SER2
G0REK3	UniRef90_A0A024SER2
A0A2H2ZCY2	UniRef90_A0A024SER2
A0A017S684	UniRef90_A0A017S684
A0A022MAY4	UniRef90_A0A022MAY4
A0A060S6A6	UniRef90_A0A060S6A6
A0A1Y2IDV3	UniRef90_A0A060S6A6
A0A022MJU1	UniRef90_A0A022MJU1
UPI0003746AF3	UniRef90_A0A022MJU1
A0A060C860	UniRef90_A0A060C860
A0A022MHH1	UniRef90_A0A022MHH1
UPI0009989D1A	UniRef90_A0A022MHH1
A0A060W7C7	UniRef90_A0A060W7C7
A0A059WJF6	UniRef90_A0A059WJF6
