Cluster members	Cluster ID
A0A014LJ12	A0A014LJ12
A0A3L8RGA0	A0A014LJ12
A0A1C5EXJ7	A0A014LJ12
A0A2K8RBI2	A0A014LJ12
A0A0X3VKA0	A0A014LJ12
A0A3R9TS75	A0A014LJ12
UPI000D115ADF	A0A014LJ12
UPI0003830C11	A0A014LJ12
UPI000B8248B2	A0A014LJ12
UPI000A3A9ED5	A0A014LJ12
UPI000ABCAC99	A0A014LJ12
UPI000C99EF4E	A0A014LJ12
UPI000C9A7D84	A0A014LJ12
UPI000D1819DF	A0A014LJ12
UPI000D1B41F7	A0A014LJ12
UPI000D1BB999	A0A014LJ12
A0A014NCA1	A0A014NCA1
A0A0B4G8T1	A0A014NCA1
E9FCT6	A0A014NCA1
A0A0B4I1F4	A0A014NCA1
A0A0B4FN20	A0A014NCA1
A0A0B4I2H1	A0A014NCA1
A0A010SMQ6	A0A010SMQ6
A0A135SRE5	A0A010SMQ6
A0A010QTB2	A0A010QTB2
A0A135UIJ3	A0A010QTB2
A0A010ZXA6	A0A010ZXA6
A0A016TEQ5	A0A016TEQ5
A0A0C2FBQ8	A0A016TEQ5
A0A0C2CQE5	A0A016TEQ5
E0A8M8	A0A016TEQ5
A0A011ALR2	A0A011ALR2
A0A010S7V4	A0A010S7V4
A0A135TGX8	A0A010S7V4
A0A010QB65	A0A010QB65
A0A135SWW2	A0A010QB65
A0A135SCJ4	A0A010QB65
A0A135SW96	A0A010QB65
A0A014LCX6	A0A014LCX6
UPI0006E36687	A0A014LCX6
UPI000A3CE342	A0A014LCX6
A0A010SLJ3	A0A010SLJ3
A0A135SKP8	A0A010SLJ3
A0A135UQB9	A0A010SLJ3
A0A010RDE2	A0A010RDE2
A0A135TE79	A0A010RDE2
A0A135SWM4	A0A010RDE2
A0A135UQ91	A0A010RDE2
A0A1G4BHF1	A0A010RDE2
A0A011WKT2	A0A011WKT2
A0A014N1J2	A0A014N1J2
UPI000A37A9B3	A0A014N1J2
A0A010NPB7	A0A010NPB7
A0A014P8A2	A0A014P8A2
UPI000A38C98B	A0A014P8A2
UPI0010441125	A0A014P8A2
A0A010YLE1	A0A010YLE1
A0A010RZI7	A0A010RZI7
A0A135RS88	A0A010RZI7
A0A135UH05	A0A010RZI7
A0A135SYB1	A0A010RZI7
A0A010QP07	A0A010QP07
A0A1G4AXD1	A0A010QP07
A0A166XYC7	A0A010QP07
A0A135TXY9	A0A010QP07
A0A135SYI8	A0A010QP07
A0A167B0Z9	A0A010QP07
A0A135UIX8	A0A010QP07
A0A014MY28	A0A014MY28
E9FBD5	A0A014MY28
A0A010SCT9	A0A010SCT9
A0A135T9N4	A0A010SCT9
A0A010RX58	A0A010RX58
A0A010RSS7	A0A010RSS7
A0A135RYH8	A0A010RSS7
A0A135TT16	A0A010RSS7
A0A135S5L1	A0A010RSS7
A0A014N5A6	A0A014N5A6
A0A010QDP9	A0A010QDP9
A0A135U967	A0A010QDP9
A0A135SF08	A0A010QDP9
A0A135TB10	A0A010QDP9
A0A011VS52	A0A011VS52
A0A1H7FPK3	A0A011VS52
A0A1I1N712	A0A011VS52
UPI0004679933	A0A011VS52
A0A0B2XJ92	A0A0B2XJ92
A0A0B4GB15	A0A0B2XJ92
A0A014MXU1	A0A0B2XJ92
A0A0B4FCD7	A0A0B2XJ92
A0A0D9NTF2	A0A0B2XJ92
A0A135T7C9	A0A135T7C9
A0A1G4BMG7	A0A135T7C9
A0A135S5I0	A0A135T7C9
A0A135TT11	A0A135T7C9
A0A010R4D9	A0A135T7C9
A0A381JPN8	A0A381JPN8
A0A1I0IRE2	A0A381JPN8
A0A011AFW3	A0A381JPN8
A0A2M8YZT8	A0A381JPN8
UPI000C23116D	A0A381JPN8
A0A135T805	A0A135T805
A0A135TUZ3	A0A135T805
A0A135UZM9	A0A135T805
A0A010S4L7	A0A135T805
A0A1V4D8X7	A0A1V4D8X7
A0A060ZPL7	A0A1V4D8X7
A0A1H4WSM7	A0A1V4D8X7
G2PE16	A0A1V4D8X7
A0A1S6RDA7	A0A1V4D8X7
A0A222T4V2	A0A1V4D8X7
A0A0X3VVT3	A0A1V4D8X7
A0A429PI93	A0A1V4D8X7
A0A014M4I2	A0A1V4D8X7
A0A0A0N9J4	A0A1V4D8X7
A0A291T167	A0A1V4D8X7
A0A1C5E484	A0A1V4D8X7
A0A2K8QZD0	A0A1V4D8X7
A0A1P8Y3W2	A0A1V4D8X7
UPI0004C7C304	A0A1V4D8X7
UPI0007676E31	A0A1V4D8X7
UPI0007DB635C	A0A1V4D8X7
UPI00082A0587	A0A1V4D8X7
UPI000A3CE90F	A0A1V4D8X7
A0A0B4IGR9	A0A0B4IGR9
A0A014MYN5	A0A0B4IGR9
